sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:581090	Acnistus arborescens	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:642408	Alysicarpus vaginalis	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:582263	Anacardium occidentale	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:1232823	Anadenanthera macrocarpa	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:486414	Brunfelsia uniflora	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:703645	Caesalpinia pulcherrima	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:585682	Carica papaya	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:581911	Cedrela odorata	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:5405972	Ceiba speciosa	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
EOL:2757414	Frieseomelitta varia	RO:0002456	pollinates	EOL:589814	Celtis iguanaea	GEONAMES:9257717	campus of Universidade de São Paulo	-21.175	-47.81055556	2010-03/2011-02	doi: 10.13102/sociobiology.v60i3.266-276	Aleixo, K.P., de Faria, L.B., Garófalo, C.A., Fonseca, V.L.I. and da Silva, C.I., 2013. Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier)(Hymenoptera: Apidae) in an urban landscape. Sociobiology, 60(3), pp.266-276.
